,Postal Code,Venue,Venue Latitude,Venue Longitude,Venue Category
5156,M2M,Canephora Cafe,43.775768993147175,-79.4342716340182,Coffee Shop
5157,M2M,Chocolada,43.79757595482136,-79.42634188207893,Dessert Shop
5158,M2M,Tickled Toad,43.796018177125674,-79.43128066112862,Bar
5159,M2M,Pizza Pizza,43.79688420153126,-79.42651366771405,Pizza Place
5160,M2M,TD Canada Trust,43.80451631538886,-79.43758144045205,Bank
5161,M2M,Subway,43.79242422147758,-79.44463259695334,Sandwich Place
5162,M2M,McDonald's,43.7962364631039,-79.43012137111185,Fast Food Restaurant
5163,M2M,Garnet A. Williams Community Centre Gym,43.80437884037752,-79.44027286974573,Gym / Fitness Center
5164,M2M,A&W,43.793249,-79.445326,Fast Food Restaurant
5165,M2M,The Indian Cuisine,43.795327403803654,-79.43460740332809,Indian Restaurant
5166,M3M,Hung Long,43.72652393180744,-79.48365933802457,Vietnamese Restaurant
5167,M3M,Meatpoint,43.727943,-79.478551,Steakhouse
5168,M3M,Euro Shawarma,43.726023591348074,-79.48180529487415,Falafel Restaurant
5169,M3M,Rustic Bakery,43.715413998974796,-79.49030028640821,Bakery
5170,M3M,Mi Pho Song Vu,43.718643435521535,-79.50765266000782,Vietnamese Restaurant
5171,M3M,True North Climbing,43.74550748230518,-79.47433161481919,Climbing Gym
5172,M3M,Toronto Downsview Airport (YZD),43.738882611749744,-79.47011109314882,Airport
5173,M3M,Downsview Park,43.74586656132118,-79.48045413876865,Park
5174,M3M,Peter G's,43.728403670472694,-79.47978851649047,New American Restaurant
5175,M3M,Get & Go Burrito,43.72653359680858,-79.48039770126343,Burrito Place
5176,M3M,Beauty supply warehouse,43.74361972818031,-79.48641820225487,Cosmetics Shop
5177,M3M,Scotiabank Pond,43.74577481449185,-79.47595678599208,Hockey Arena
5178,M3M,LCBO,43.73271669596289,-79.45471700811727,Liquor Store
5179,M3M,Btrust Supermarket,43.72627030972754,-79.48297152054766,Grocery Store
5180,M3M,Grandprix Kartways,43.74595741292497,-79.47485157167345,Racetrack
5181,M3M,Chef 47,43.730482902230214,-79.46642184396892,Turkish Restaurant
5182,M3M,Archers Arena,43.75410087082961,-79.46719985280109,Recreation Center
5183,M3M,The Hangar @ Downsview Park,43.74671314265463,-79.47408188494921,Athletics & Sports
5184,M3M,Crate & Barrel,43.72658365,-79.45266115,Furniture / Home Store
5185,M3M,BATLgrounds,43.72405414025907,-79.46339833125026,Athletics & Sports
5186,M3M,Godiva Chocolatier,43.7259875,-79.4542377,Chocolate Shop
5187,M3M,Forget Me Not Cafe Vietnamese Resto-Bar,43.730491854293696,-79.46652955512842,Vietnamese Restaurant
5188,M3M,RH Courtyard Café,43.7248736,-79.4555364,Restaurant
5189,M3M,Baba Ganoush Shawarma Restaurant,43.75418591073192,-79.46870502547036,Middle Eastern Restaurant
5190,M3M,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant
5191,M3M,Yorkdale Shopping Centre,43.72548184266099,-79.45273563264436,Shopping Mall
5192,M3M,Classic Creations,43.73282495775122,-79.45183753967285,Jewelry Store
5193,M3M,Tim Hortons,43.72280227114913,-79.50948894023895,Coffee Shop
5194,M3M,Costco,43.73090022835022,-79.4557174545216,Warehouse Store
5195,M3M,Ted Baker London,43.72451893248142,-79.45270961233477,Clothing Store
